participant,condition,task,anchor,num_completions,mean_duration_s,median_duration_s,std_duration_s,accuracy
Participant_8,Stationary,Key,World,7,28.028571428571432,25.15,14.504773270170327,1.0
Participant_8,Stationary,Visual,World,7,10.427142857142856,7.19,7.8388449707970675,1.0
Participant_9,Moving,Controls,Arm,7,11.402857142857142,5.16,16.820597209260747,1.0
Participant_9,Moving,Key,World,7,70.57142857142857,65.87,31.909277349266016,1.0
Participant_9,Moving,Visual,Torso,7,7.761428571428572,7.01,2.632764254362251,0.8571428571428571
Participant_9,SemiStationary,Controls,Arm,7,4.571428571428571,4.67,1.9471982314035088,1.0
Participant_9,SemiStationary,Key,World,7,34.13,35.65,17.6478771150149,0.7142857142857143
Participant_9,SemiStationary,Visual,Torso,6,7.468333333333334,6.029999999999999,4.196843655256492,0.8333333333333334
Participant_9,SemiStationary,Visual,World,1,8.56,8.56,,1.0
Participant_9,Stationary,Controls,World,7,7.518571428571429,4.31,7.647174703926997,1.0
Participant_9,Stationary,Key,World,7,30.457142857142856,22.79,19.177307522421486,1.0
Participant_9,Stationary,Visual,World,7,5.694285714285714,4.96,2.1745563313226075,1.0
